example_id                                                         | status | run_time        |
./spec/helpers/application_helper_spec.rb[1:1:4:1]                 | passed | 0.0026 seconds  |
./spec/helpers/application_helper_spec.rb[1:1:5:1]                 | passed | 0.00165 seconds |
./spec/helpers/application_helper_spec.rb[1:1:5:2]                 | passed | 0.00257 seconds |
./spec/helpers/application_helper_spec.rb[1:1:5:3]                 | passed | 0.00218 seconds |
./spec/helpers/application_helper_spec.rb[1:1:6:1]                 | passed | 0.00167 seconds |
./spec/helpers/application_helper_spec.rb[1:1:6:2]                 | passed | 0.00166 seconds |
./spec/helpers/application_helper_spec.rb[1:1:6:3]                 | passed | 0.00217 seconds |
./spec/helpers/application_helper_spec.rb[1:1:7:1]                 | passed | 0.00162 seconds |
./spec/models/profile_spec.rb[1:1:1]                               | passed | 0.00192 seconds |
./spec/models/profile_spec.rb[1:2:1]                               | passed | 0.00361 seconds |
./spec/models/profile_spec.rb[1:2:2]                               | passed | 0.00484 seconds |
./spec/models/profile_spec.rb[1:2:3]                               | passed | 0.00977 seconds |
./spec/models/profile_spec.rb[1:2:4]                               | passed | 0.00279 seconds |
./spec/models/profile_spec.rb[1:2:5:1]                             | passed | 0.0031 seconds  |
./spec/models/profile_spec.rb[1:2:5:2]                             | passed | 0.00326 seconds |
./spec/models/profile_spec.rb[1:2:5:3]                             | passed | 0.0029 seconds  |
./spec/models/profile_spec.rb[1:2:5:4]                             | passed | 0.00346 seconds |
./spec/models/profile_spec.rb[1:3:1:1]                             | passed | 0.00939 seconds |
./spec/models/profile_spec.rb[1:3:1:2]                             | passed | 0.01115 seconds |
./spec/models/profile_spec.rb[1:3:1:3]                             | passed | 0.01302 seconds |
./spec/models/profile_spec.rb[1:3:1:4]                             | passed | 0.00908 seconds |
./spec/models/profile_spec.rb[1:3:1:5]                             | passed | 0.01122 seconds |
./spec/models/profile_spec.rb[1:3:1:6]                             | passed | 0.0099 seconds  |
./spec/models/profile_spec.rb[1:3:1:7]                             | passed | 0.01524 seconds |
./spec/models/profile_spec.rb[1:4:1]                               | passed | 0.00739 seconds |
./spec/models/profile_spec.rb[1:4:2]                               | passed | 0.00869 seconds |
./spec/models/profile_spec.rb[1:5:1]                               | passed | 0.00287 seconds |
./spec/models/profile_spec.rb[1:5:2]                               | passed | 0.0025 seconds  |
./spec/models/user_spec.rb[1:1:1]                                  | passed | 0.00106 seconds |
./spec/models/user_spec.rb[1:2:1]                                  | passed | 0.00369 seconds |
./spec/models/user_spec.rb[1:2:2]                                  | passed | 0.01038 seconds |
./spec/models/user_spec.rb[1:2:3]                                  | passed | 0.00301 seconds |
./spec/models/user_spec.rb[1:2:4]                                  | passed | 0.00401 seconds |
./spec/models/user_spec.rb[1:3:1]                                  | passed | 0.00637 seconds |
./spec/models/user_spec.rb[1:3:2]                                  | passed | 0.00094 seconds |
./spec/models/user_spec.rb[1:3:3]                                  | passed | 0.00072 seconds |
./spec/models/user_spec.rb[1:3:4]                                  | passed | 0.00082 seconds |
./spec/models/user_spec.rb[1:3:5]                                  | passed | 0.00073 seconds |
./spec/models/user_spec.rb[1:4:1:1]                                | passed | 0.0057 seconds  |
./spec/models/user_spec.rb[1:4:1:2]                                | passed | 0.00944 seconds |
./spec/models/user_spec.rb[1:4:1:3]                                | passed | 0.01093 seconds |
./spec/models/user_spec.rb[1:5:1]                                  | passed | 0.00321 seconds |
./spec/models/user_spec.rb[1:5:2]                                  | passed | 0.00442 seconds |
./spec/models/user_spec.rb[1:5:3]                                  | passed | 0.00815 seconds |
./spec/models/user_spec.rb[1:6:1]                                  | passed | 0.00845 seconds |
./spec/models/user_spec.rb[1:6:2]                                  | passed | 0.00882 seconds |
./spec/models/user_spec.rb[1:6:3]                                  | passed | 0.00705 seconds |
./spec/models/user_spec.rb[1:6:4:1]                                | passed | 0.00753 seconds |
./spec/models/user_spec.rb[1:7:1]                                  | passed | 0.00647 seconds |
./spec/models/user_spec.rb[1:7:2]                                  | passed | 0.00829 seconds |
./spec/models/user_spec.rb[1:8:1]                                  | passed | 0.01401 seconds |
./spec/models/user_spec.rb[1:8:2]                                  | passed | 0.0175 seconds  |
./spec/models/user_spec.rb[1:9:1]                                  | passed | 0.00371 seconds |
./spec/models/user_spec.rb[1:9:2]                                  | passed | 0.00293 seconds |
./spec/models/user_spec.rb[1:9:3]                                  | passed | 0.00786 seconds |
./spec/models/user_spec.rb[1:10:1]                                 | passed | 0.00259 seconds |
./spec/models/user_spec.rb[1:10:2]                                 | passed | 0.00405 seconds |
./spec/models/user_spec.rb[1:10:3]                                 | passed | 0.00319 seconds |
./spec/repositories/profile_repository_spec.rb[1:1:1:1]            | passed | 0.00979 seconds |
./spec/repositories/profile_repository_spec.rb[1:1:2:1]            | passed | 0.00653 seconds |
./spec/repositories/profile_repository_spec.rb[1:2:1:1]            | passed | 0.01404 seconds |
./spec/repositories/profile_repository_spec.rb[1:2:2:1]            | passed | 0.01225 seconds |
./spec/repositories/profile_repository_spec.rb[1:3:1:1]            | passed | 0.00947 seconds |
./spec/repositories/profile_repository_spec.rb[1:3:2:1]            | passed | 0.00712 seconds |
./spec/repositories/profile_repository_spec.rb[1:4:1]              | passed | 0.01144 seconds |
./spec/repositories/profile_repository_spec.rb[1:5:1]              | passed | 0.00462 seconds |
./spec/repositories/profile_repository_spec.rb[1:6:1]              | passed | 0.00928 seconds |
./spec/repositories/profile_repository_spec.rb[1:6:2:1]            | passed | 0.00129 seconds |
./spec/repositories/profile_repository_spec.rb[1:7:1:1]            | passed | 0.00812 seconds |
./spec/repositories/profile_repository_spec.rb[1:7:2:1]            | passed | 0.01017 seconds |
./spec/repositories/profile_repository_spec.rb[1:8:1]              | passed | 0.07926 seconds |
./spec/repositories/profile_repository_spec.rb[1:8:2]              | passed | 0.10639 seconds |
./spec/repositories/profile_repository_spec.rb[1:9:1]              | passed | 0.01478 seconds |
./spec/requests/api/auth_spec.rb[1:1:1:1]                          | passed | 0.0129 seconds  |
./spec/requests/api/auth_spec.rb[1:1:1:2]                          | passed | 0.01127 seconds |
./spec/requests/api/auth_spec.rb[1:1:2:1]                          | passed | 0.00284 seconds |
./spec/requests/api/auth_spec.rb[1:1:2:2]                          | passed | 0.00266 seconds |
./spec/requests/api/auth_spec.rb[1:1:3:1]                          | passed | 0.00247 seconds |
./spec/requests/api/auth_spec.rb[1:1:3:2]                          | passed | 0.00222 seconds |
./spec/requests/api/auth_spec.rb[1:1:3:3]                          | passed | 0.00229 seconds |
./spec/requests/api/auth_spec.rb[1:1:3:4]                          | passed | 0.00288 seconds |
./spec/requests/api/auth_spec.rb[1:1:3:5]                          | passed | 0.00307 seconds |
./spec/requests/api/auth_spec.rb[1:1:4:1]                          | passed | 0.00923 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:1:1:1]           | passed | 0.01916 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:1:1:2]           | passed | 0.01973 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:1:1:3]           | passed | 0.05476 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:1:1:4]           | passed | 0.01808 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:1:2:1]           | passed | 0.01748 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:1:3:1]           | passed | 0.03208 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:2:1:1]           | passed | 0.01256 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:2:1:2]           | passed | 0.01517 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:2:2:1]           | passed | 0.01067 seconds |
./spec/requests/api/profiles_controller_spec.rb[1:2:3:1]           | passed | 0.04627 seconds |
./spec/requests/api/profiles_spec.rb[1:1:1]                        | passed | 0.02132 seconds |
./spec/requests/api/profiles_spec.rb[1:2:1]                        | passed | 0.01935 seconds |
./spec/requests/api/profiles_spec.rb[1:2:2]                        | passed | 0.01959 seconds |
./spec/services/api/profiles/find_spec.rb[1:1:1:1]                 | passed | 0.01066 seconds |
./spec/services/api/profiles/find_spec.rb[1:1:2:1]                 | passed | 0.00887 seconds |
./spec/services/api/profiles/find_spec.rb[1:1:3:1]                 | passed | 0.01195 seconds |
./spec/services/api/profiles/list_spec.rb[1:1:1:1]                 | passed | 0.04975 seconds |
./spec/services/api/profiles/list_spec.rb[1:1:2:1]                 | passed | 0.04127 seconds |
./spec/services/api/profiles/list_spec.rb[1:1:3:1]                 | passed | 0.04731 seconds |
./spec/services/api/profiles/list_spec.rb[1:1:4:1]                 | passed | 0.05209 seconds |
./spec/services/api/profiles/list_spec.rb[1:1:5:1]                 | passed | 0.06307 seconds |
./spec/services/api/profiles/list_spec.rb[1:1:6:1]                 | passed | 0.101 seconds   |
./spec/services/api/profiles/list_spec.rb[1:1:7:1]                 | passed | 0.10253 seconds |
./spec/services/api/profiles/list_spec.rb[1:1:8:1]                 | passed | 0.06137 seconds |
./spec/services/github/contributions_client_spec.rb[1:1:1:1]       | passed | 0.00212 seconds |
./spec/services/github/contributions_client_spec.rb[1:1:2:1]       | passed | 0.002 seconds   |
./spec/services/github/contributions_client_spec.rb[1:1:3:1]       | passed | 0.00244 seconds |
./spec/services/github/contributions_client_spec.rb[1:1:4:1]       | passed | 0.00285 seconds |
./spec/services/github/profile_scraper_spec.rb[1:1:1:1]            | passed | 0.0038 seconds  |
./spec/services/github/profile_scraper_spec.rb[1:1:2:1]            | passed | 0.00227 seconds |
./spec/services/github/profile_scraper_spec.rb[1:1:3:1]            | passed | 0.00118 seconds |
./spec/services/github/profile_scraper_spec.rb[1:2:1:1]            | passed | 0.00102 seconds |
./spec/services/github/profile_scraper_spec.rb[1:2:2:1:1]          | passed | 0.00167 seconds |
./spec/services/github/profile_scraper_spec.rb[1:2:2:2:1]          | passed | 0.00099 seconds |
./spec/services/github/profile_scraper_spec.rb[1:2:2:3:1]          | passed | 0.00123 seconds |
./spec/services/github/profile_scraper_spec.rb[1:2:3:1:1]          | passed | 0.00108 seconds |
./spec/services/github/profile_scraper_spec.rb[1:2:3:2:1]          | passed | 0.00177 seconds |
